id,word,translation,definition,partOfSpeech,frequency,examples,pronunciation,context
cmfysonv60000ipxc8bylo92x,здравствуйте,hello (formal),formal greeting,interjection,1000,"[""здравствуйте используется в повседневной речи."",""Пример: здравствуйте - это formal greeting.""]",zdra-stvuy-tye,Cognatus colligo abeo degenero considero.
cmfysonx60001ipxc0ksll27h,спасибо,thank you,expression of gratitude,interjection,950,"[""спасибо используется в повседневной речи."",""Пример: спасибо - это expression of gratitude.""]",spa-si-bo,Valeo delicate amita vulnus.
cmfysonyv0002ipxci8hjphiw,пожалуйста,please/you're welcome,polite request or acknowledgment,adverb,900,"[""пожалуйста используется в повседневной речи."",""Пример: пожалуйста - это polite request or acknowledgment.""]",po-zha-luy-sta,Curtus cenaculum soluta accedo dapifer iusto conventus.
cmfysoo0f0003ipxc465qb1yy,извините,excuse me/sorry,apology or attention-getting phrase,verb,800,"[""извините используется в повседневной речи."",""Пример: извините - это apology or attention-getting phrase.""]",iz-vi-ni-tye,Culpo coaegresco cogo verumtamen corrupti adfectus articulus demitto error.
cmfysoo230004ipxcgqgpvgvv,работа,work/job,employment or labor,noun,750,"[""работа используется в повседневной речи."",""Пример: работа - это employment or labor.""]",ra-bo-ta,Clementia thermae confido.
cmfysoo3o0005ipxc8lobggwd,дом,house/home,dwelling or residence,noun,700,"[""дом используется в повседневной речи."",""Пример: дом - это dwelling or residence.""]",dom,Arma voveo vero suspendo subito.
cmfysoo550006ipxc4mczeqq4,время,time,temporal measurement,noun,650,"[""время используется в повседневной речи."",""Пример: время - это temporal measurement.""]",vre-mya,Cerno vilis volo depromo desolo.
cmfysoo6r0007ipxc947rcymd,деньги,money,currency or financial resources,noun,600,"[""деньги используется в повседневной речи."",""Пример: деньги - это currency or financial resources.""]",den-gi,Tendo surculus caute dolorem admoveo supellex suffoco demum.
cmfysoo8f0008ipxcf9y3ieso,хорошо,good/well,positive evaluation,adverb,580,"[""хорошо используется в повседневной речи."",""Пример: хорошо - это positive evaluation.""]",kho-ro-sho,Ventosus delectatio terga teres arx utrum delinquo summisse attollo admiratio.
cmfysooa20009ipxcewxufs2x,плохо,bad/poorly,negative evaluation,adverb,500,"[""плохо используется в повседневной речи."",""Пример: плохо - это negative evaluation.""]",plo-kho,Patria curatio viriliter complectus colo solium velum.
cmfysoobl000aipxcpz6uhsyk,sociusое,traffic,Aegrus tergeo minus turbo dolores.,adjective,121,"[""Ustulo decens denique clibanus defetiscor turpis vereor."",""Vilis sunt verecundia.""]",illusion,Sui velit numquam vereor uterque cultura maiores tempore odio adsidue.
cmfysood6000bipxcvtopig8b,iureое,representation,Substantia tendo suasoria tero vilitas currus vulgaris adicio amor.,preposition,317,"[""Officia textor vesper caelestis conatus viridis."",""Stabilis desparatus creator.""]",yet,Adstringo sto vilitas.
cmfysooeu000cipxc6ghh9du2,terrorое,thin per concerning,Unus ver perferendis comitatus.,verb,883,"[""Cribro vivo spoliatio ullam."",""Fugit accusantium arceo acerbitas tabella vere.""]",prance,Condico temperantia non coerceo.
cmfysoogh000dipxcgrkwwyu6,supplantoеть,by,Defetiscor centum amissio delego abscido placeat stillicidium coruscus solum.,preposition,523,"[""Atque carpo nisi cauda caterva fugit subiungo conduco aperio avaritia."",""Fugiat capillus perspiciatis suscipio succurro synagoga illo comprehendo caput.""]",entomb,Damno spero dedico surculus blandior volutabrum sponte venia aggero.
cmfysooi8000eipxcd84984co,canisеть,instructive elastic,Aeternus addo supra coaegresco.,verb,21,"[""Dolor depulso validus aperiam claustrum omnis thema corroboro addo tabesco."",""Vulticulus agnosco totam creber temeritas denego adipiscor aspernatur.""]",fisherman,Benevolentia suadeo averto.
cmfysoojx000fipxc7gjg1u94,acceptusать,through throughout,Animus theologus clarus aurum talio delibero.,adverb,9,"[""Validus aequus sursum stultus tantillus taedium."",""Recusandae cunabula arbitro repudiandae molestiae delinquo conatus.""]",carefully,Conspergo aveho abundans acervus sulum in.
cmfysoolx000gipxc0mtenhzo,auditorеть,grown,Xiphias appono toties attonbitus barba sed aequitas tremo.,noun,495,"[""Totidem quibusdam amor collum villa calculus utique suscipio amissio."",""Deinde adsuesco adsum conforto porro.""]",readies,Deorsum cohaero sit canis aut amoveo vigor sordeo corrumpo attero.
cmfysoonl000hipxc6hp7bbqf,adversusая,untrue joshingly,Uredo quasi aperio auxilium vinum xiphias tamen.,verb,34,"[""Dolores saepe aptus vicinus undique tamen succurro arcesso cubitum copiose."",""Virgo cunctatio patria spiritus cupio.""]",permafrost,Verumtamen deleo laborum dapifer.
cmfysoop5000iipxcd8l814wj,sustineoеть,chip upon split,Tardus damnatio libero est cupiditas.,adverb,158,"[""Capto arguo sui tempora video sufficio."",""Decens tenax rem arbor demo supellex caecus spargo.""]",plump,Eligendi culpo a subvenio corona contego ambulo uxor defaeco auxilium.
cmfysooqr000jipxcynf8vevc,administratioое,yak,Appello corona ambitus atavus audio.,preposition,846,"[""Certe alius aer clementia."",""Eligendi admoneo ipsa tergeo taceo atrox consequatur.""]",lively,Ventosus vilicus terreo utrimque despecto adeo sit surculus cedo cernuus.
cmfysoosc000kipxcly98jud9,viridisое,nearly safeguard despite,Accommodo credo neque speculum.,verb,83,"[""Sed ipsa ceno verbum defero creator."",""Adinventitias ullus demitto spargo tamdiu.""]",after,Culpa voluptatum totam cariosus videlicet thesaurus.
cmfysooxa000lipxc71pgrp5h,tegoая,redound,Tametsi volo baiulus arbitro varius velociter custodia cui conduco ancilla.,preposition,112,"[""Ars adfero cohaero vulariter dedico."",""Vindico spargo denuncio placeat.""]",outstanding,Bellicus ventosus victoria optio audio quam sufficio una.
cmfysooyt000mipxcbosvsm1y,amissioая,upwardly heartache worthy,Voveo timor thermae velut accedo officiis.,noun,182,"[""Defetiscor bis aro supplanto."",""Admiratio adeptio veritas vinitor vinitor cohors.""]",er,Cibus tabernus quasi vivo texo crustulum pectus abundans pauper.
cmfysop0c000nipxc0xet6dre,deprecatorый,liquid,Collum ante talio accendo denuo alius soluta casso.,adjective,923,"[""Curatio coaegresco conscendo animadverto amor aer ullam."",""Amitto maiores volup volaticus vulgivagus pecto aequus crudelis.""]",gadzooks,Voluptates cavus assumenda copia uredo suggero.
cmfysop1x000oipxcwdtxb8f0,asciscoый,if,Agnosco ultio benevolentia repudiandae carus alienus placeat alienus defero desino.,preposition,88,"[""Advoco acidus tondeo excepturi tepidus aetas."",""Textilis deporto cumque cupressus crur tristis ab.""]",how,Delectus suffragium antea debeo verumtamen tutis trucido ver.
cmfysop3g000pipxc0oifd9kq,cretaеть,quart floss excluding,Crapula depraedor voluptates certe magnam cernuus inflammatio animadverto uterque.,noun,179,"[""Eum vivo deprimo."",""Eius eligendi defero vestigium articulus facilis concido universe.""]",throughout,Utrum conforto celebrer absque crux.
cmfysop4y000qipxc3zxljkdi,adipisciеть,until sonata,Sequi vir aliqua denego tunc ustulo labore vester alveus viriliter.,preposition,212,"[""Demoror tener sono quia adnuo pectus aspicio tremo voluptatem."",""Videlicet validus vicinus temeritas.""]",enhance,Delibero laboriosam sonitus calculus.
cmfysop6g000ripxcp81tu2g8,desparatusать,before,Talus demens ustilo aspernatur cervus tepidus armarium demulceo pax comedo.,preposition,461,"[""In capillus ambulo spero tertius depromo cenaculum."",""Curo vicinus officiis magni thesis admiratio defleo unus blanditiis.""]",sheepishly,Tutamen auditor velut desino.
cmfysop7x000sipxc8zdpv57x,velutая,gee painfully,Quas vae civis suspendo conicio antea.,preposition,723,"[""Vinculum caute tertius."",""Vester tendo atavus deprecator vulgus damnatio corrumpo corporis utor bibo.""]",authorized,Absconditus timor alo praesentium adduco vulticulus dedecor.
cmfysop9c000tipxc9uma4c2n,maximeая,weakly,Aestus deprimo brevis.,noun,520,"[""Decumbo animus celo totam iusto ocer assentator."",""Aegrotatio quas adaugeo ademptio beneficium deripio incidunt soluta.""]",sermon,Commodi vehemens clamo tamisium capitulus nisi voluptates temporibus.
cmfysopav000uipxclrg0urdp,tametsiеть,split,Timidus coniuratio sumptus truculenter.,preposition,887,"[""Cursim error ars deorsum depraedor."",""Traho crur sol atrox terreo tepidus vilitas natus credo deludo.""]",plumber,Trepide volubilis amaritudo cupiditate.
cmfysopcz000vipxcsc6v6mez,vigiloое,printer but coast,Ulciscor dedico vobis desipio amo soleo.,adverb,405,"[""Crapula vicinus crepusculum."",""Nihil cum peccatus dedecor vulariter.""]",absent,Esse volo tego audax.
cmfysopep000wipxcpn25i2k9,votumать,finally madly whoa,Vivo tenuis voluntarius arguo.,adverb,152,"[""Auxilium appositus terreo advenio cognomen vere animus cruentus tamquam adipiscor."",""Via copia soleo certe perferendis undique crur temporibus.""]",despite,Thesaurus dolor agnosco antepono.
cmfysopgc000xipxcoequmszl,conscendoая,pointless fantastic,Triumphus consequuntur vigor annus denique confido.,verb,91,"[""Delicate esse advenio venustas creber."",""Subito defungo volutabrum officiis suggero acer utroque.""]",always,Viriliter admoneo tum demens tristis vesper vulnus suppellex viduo.
cmfysophw000yipxcn166zrd6,velutый,creative,Cometes adamo demergo hic tempore ciminatio.,verb,999,"[""Ventosus civitas bellicus sophismata decipio sulum virgo tenus deprecator carcer."",""Defluo admoneo templum considero textus antea.""]",as,A cicuta arbitro vorago deludo tergum uter viriliter suffoco a.
cmfysopjf000zipxc298w7opi,aerить,casket,Sapiente decerno derideo alii virtus auditor tego cupiditate xiphias delinquo.,adverb,31,"[""Trado assumenda tamisium spargo volva vinitor impedit una ab."",""Accedo eaque beatus vetus aggero sponte cuppedia administratio carmen.""]",object,Aer angulus vociferor tego velut sperno adulescens.
cmfysopky0010ipxcytlmk0r1,rerumое,because,Arbustum aequus succedo triduana itaque acsi articulus.,adjective,529,"[""Defluo cotidie cognatus."",""Catena subseco cibo uter placeat appello trepide aegrus conqueror.""]",hmph,Tres coniecto voco adamo bonus.
cmfysopmh0011ipxco2q5qxqa,verberaеть,yippee sport,Taceo torqueo abeo similique.,noun,516,"[""Utor audio stipes adfero magnam ciminatio pecto."",""Deprimo uberrime tabgo sollicito.""]",fake,Ter denuncio contabesco ars.
cmfysopo30012ipxcblvbvq2r,texoеть,lavish by,Ustulo verbum vulpes color vestrum vomer tendo tui ubi curatio.,adverb,616,"[""Patria deripio alioqui adsum hic ustilo beneficium."",""Conscendo depopulo stips absum vita aperiam convoco curis.""]",contradict,Ascit caelum caelum sumptus claustrum vinculum aurum maiores.
cmfysoppl0013ipxcv1u7eslp,denegoить,axe testify,Occaecati debeo brevis ago.,verb,331,"[""Textus speculum vilitas excepturi defetiscor deleniti statua theologus."",""Carbo talus succurro.""]",overwork,Tamisium ademptio viridis deludo circumvenio conscendo caput pariatur perferendis excepturi.
cmfysopr30014ipxc0ic8a2l4,aggrediorить,rosemary vanadyl,Cupiditas conspergo patruus votum antiquus.,preposition,657,"[""Dolor commodi crapula sursum."",""Solus angustus tollo vita.""]",boohoo,Crapula nulla magni curriculum tenetur minus adhaero acervus aureus decor.
cmfysopsr0015ipxcepeqlkqs,pariaturеть,toward,Villa accedo clamo advenio sapiente defetiscor.,adverb,222,"[""Tempus tredecim aliqua crepusculum."",""Voluptate coruscus asper paulatim caecus.""]",toward,Aeneus demo vesco urbs sumo.
cmfysopu80016ipxc8tlxu1ht,certeое,reassuringly,Tempore depono spes voluptatibus.,adjective,867,"[""Adduco vere temperantia tersus decet."",""Sint basium nobis amoveo.""]",admired,Pecto vito bestia temeritas apparatus corrupti terga sit victus sustineo.
cmfysopvq0017ipxcsnldrrja,celoать,elegantly,Absque velut aggero coaegresco vespillo comitatus.,noun,249,"[""Agnitio crux bonus pecus conculco deripio rerum eos decet demitto."",""Aperio caries facilis peior delego terror pecco vitae timor.""]",yieldingly,Ultra una undique vaco synagoga apparatus patruus corpus vere.
cmfysopx90018ipxc36b2mro2,aeneusать,geez,Sumo altus certus ea subnecto depopulo necessitatibus.,preposition,928,"[""Charisma sperno laboriosam."",""Voluptatem audax colligo pel verto cribro deleo astrum.""]",male,Conscendo adversus debitis cuius pauper universe cogito tenax.
cmfysopyt0019ipxcs5s3ntke,vitaая,pointed aching although,Vulpes torrens exercitationem vinum aestus articulus mollitia tergo.,adjective,739,"[""Velut dolorum admitto copia adstringo temperantia atque cena in."",""Vitiosus asporto amo aspernatur terror tenus patruus.""]",ew,Terminatio cauda verus tamen pauci asporto suffragium.
cmfysoq0f001aipxc2p8dtpe3,custodiaеть,super,Minus ciminatio aer crastinus vivo comitatus.,adjective,25,"[""Cohaero traho voluntarius velut vapulus admoneo contego vergo umerus terror."",""Placeat averto candidus tamisium subito ater ver delinquo arx.""]",who,Acervus admoveo vulgivagus canonicus vetus cernuus aggero arcesso.
cmfysoq22001bipxcsh6tddak,aestasое,comparison aha,Carus temperantia solutio.,preposition,425,"[""Ter confugo conturbo curto recusandae crux."",""Excepturi voco voluptate.""]",wry,Cunae certus aptus adfectus ducimus chirographum cuppedia denique vestigium.
cmfysoq3m001cipxcodisoav9,videlicetеть,lest furthermore,Conqueror vulariter vorago.,verb,155,"[""Tribuo sublime peior."",""Creptio contigo conduco spero aut vicissitudo universe ventosus valens.""]",pfft,Balbus aqua aegrus solium cibus tollo.
cmfysoq56001dipxcenpyssof,atqueое,unnecessarily,Contra enim comptus sopor inventore consuasor.,noun,627,"[""Amissio sopor bonus catena tersus terminatio cenaculum voluptatibus creptio."",""Tollo perspiciatis acies tantillus cognatus voco tui adsuesco adduco.""]",whoa,Amiculum comprehendo stips.
cmfysoq6r001eipxct0p898l6,crescoеть,woot helplessly,Tempora bellum carcer decipio.,noun,321,"[""Corrupti rerum facere adipisci."",""Arma spes careo.""]",repeatedly,Succedo bos cornu desino surgo alter subito deputo.
cmfysoq8a001fipxchc7srlcq,tutisить,black-and-white drat,Cursus bardus clam comprehendo congregatio spero alter absconditus.,adverb,99,"[""Terreo trepide umerus addo spargo pauper."",""Coma delibero deporto creo auxilium aureus.""]",fiercely,Assumenda aer toties aspicio adeo sordeo suspendo.
cmfysoq9w001gipxcy7svxiid,illumать,whack so,Combibo cervus pecus ait antepono theca victoria deleniti defessus.,verb,714,"[""Ancilla baiulus talis."",""Ceno canonicus demonstro.""]",writ,Caveo rem voro.
cmfysoqbp001hipxct29ur2jw,xiphiasая,pish only meh,Molestiae aptus vester bellicus delinquo.,adjective,163,"[""Campana quidem solitudo vae uberrime velum terra cenaculum curia."",""Tutamen vorax adfectus adinventitias solutio aedificium spero torqueo avarus territo.""]",yahoo,Congregatio decumbo acervus uberrime sollers absorbeo adflicto.
cmfysoqdu001iipxcah1b8vcm,coaegrescoать,awful,Excepturi venia ipsa.,adverb,767,"[""Vulpes incidunt succurro audacia volutabrum ocer odit absens."",""Cado curtus odio.""]",far-flung,Cognatus celer urbanus copia terminatio acquiro asper quo.
cmfysoqfe001jipxclni9hjwf,arbitroое,punctually aside qua,Ustilo ascit usque.,adverb,673,"[""Circumvenio uberrime comitatus patruus tamisium eveniet cimentarius corrupti dignissimos."",""Animadverto campana denique acer tubineus.""]",up,Stultus utor tondeo animus vulnus solvo adiuvo.
cmfysoqh1001kipxcymmcjdad,cupressusый,scorpion,Copia valeo xiphias studio angulus sui umbra tutamen vindico.,noun,850,"[""Cilicium arbustum comedo depraedor victoria vulgus."",""Cohors excepturi verbum uxor quos soluta cumque.""]",minority,Abduco suffragium vigilo stips absque occaecati.
cmfysoqip001lipxcancxf8x4,advenioеть,council gradient premise,Pel vicinus vigilo templum trans cumque demo.,noun,20,"[""Eius tibi aggero dedico sub terra velut enim ara assumenda."",""Capio vergo combibo carbo virtus aliquam bardus admitto pel.""]",wholly,Doloribus aer culpa.
cmfysoqkg001mipxcp2hiq37l,ducimusая,whenever underneath,Consequuntur benigne viridis asperiores capio iure sequi.,noun,329,"[""Caterva taceo et inventore."",""Absens labore strenuus vinum perferendis valde veritas arca.""]",boo,Viscus sunt asporto aufero ipsum expedita.
cmfysoqm1001nipxc5a50sn9a,quaeratить,ready sparse besides,Tenax absconditus asporto tremo bibo consectetur.,adjective,169,"[""Vilitas delego cras copiose tero audentia conscendo rerum vereor claudeo."",""Ceno acsi decimus praesentium veniam brevis absorbeo.""]",fuss,Vester utilis demo animadverto.
cmfysoqnk001oipxc47yfazsg,abducoая,entwine because minister,Armarium dolor tergiversatio suppono vos deprecator.,noun,147,"[""Tandem charisma degero utrimque video."",""Tero accusantium cenaculum iure velociter custodia amplexus taedium sordeo.""]",wear,Aetas tergiversatio concedo possimus umerus sumptus vetus.
cmfysoqp3001pipxchcgp291z,struesать,lid striking,Alo vilicus curtus capillus peccatus tenuis temptatio solvo repellat stips.,verb,700,"[""Valde balbus vivo decor dignissimos."",""Tero delinquo cupressus quo acsi approbo.""]",disapprove,Vulgivagus placeat vulgivagus harum vulgo cervus crastinus cursim.
cmfysoqqp001qipxchc3r2w9t,timorить,at,Artificiose delego volutabrum volaticus creo distinctio atque curso et aufero.,preposition,971,"[""In dolorem stipes dedecor abduco maxime delectatio desipio quam cena."",""Ceno blandior aeternus abutor absorbeo volaticus vero triumphus crux.""]",imaginary,Texo magni sufficio patrocinor censura consectetur aegrotatio verecundia adfectus vereor.
cmfysoqsb001ripxcod4m60pu,vulgoая,furthermore thigh comparison,Cultura ad tonsor quidem attollo creber acerbitas explicabo adhuc.,noun,955,"[""Cunctatio ascit depraedor viridis sulum aut audax accusantium taceo abeo."",""Sustineo vesper tandem vester solium artificiose cito.""]",meh,Turba summa dolore celer carcer admoveo somniculosus conspergo curia.
cmfysoqu0001sipxchpc3uiz1,adstringoая,across ah,Contigo confero ceno tamisium vehemens statua pectus valde volaticus color.,adjective,649,"[""Paens quo verbera degenero sortitus suffoco vaco."",""Vulgus aequitas cibo super ipsa.""]",institutionalize,Tui patruus occaecati truculenter corrigo terror.
cmfysoqvi001tipxcpfcfqwbi,aedificiumая,frank midst,Acies causa cavus et amitto aestus victoria victoria tres acquiro.,adverb,783,"[""Victoria thalassinus decimus vaco accusamus vulariter animi torqueo defaeco."",""Patrocinor dolorum paulatim vergo tam venia stultus urbs.""]",suffice,Reprehenderit subnecto terreo varius vinco.
cmfysoqwz001uipxcn9r3oaec,conducoый,sentimental queasily to,Carmen depulso benevolentia verumtamen uredo ver contra vestigium sto distinctio.,preposition,128,"[""Quis votum vulticulus pauper crapula confugo solium caries molestias tutis."",""Cohaero defero armarium careo.""]",suspiciously,Canto adsuesco eveniet tardus copiose sustineo tantum creo eaque.
cmfysoqyg001vipxcmtq04nxc,odioать,against gadzooks lightly,Magnam attollo thymbra autus sordeo cupio ago vilis audio depromo.,noun,34,"[""Tollo ustilo quasi arguo."",""Absconditus voluptas cumque concido complectus.""]",neaten,Ea cunabula tubineus demens harum vulgus.
cmfysor01001wipxclgplu9aw,decernoать,partially welcome,Teres atavus advoco adopto sunt adulatio conor corpus considero.,noun,612,"[""Carpo ambulo textor eveniet claudeo dedecor tricesimus."",""Aurum accedo paens adeptio desipio.""]",psst,Vestigium sponte soluta ultra suspendo abeo vigilo combibo agnitio.
cmfysor1l001xipxcebg7uhz4,admiratioый,aware hornet,Earum excepturi corpus volo.,adverb,173,"[""Ducimus absque dedecor nobis."",""Ante synagoga tutis vicissitudo campana molestiae laborum ambitus cruentus votum.""]",topsail,Asper adulatio umbra doloremque culpo sit expedita alveus tracto.
cmfysor34001yipxc0xvx3rrv,comaое,since corral matter,Strues traho adinventitias absque bellum.,adjective,947,"[""Animi totidem alii ventosus utroque ventito tunc."",""Cuius asporto barba celer.""]",whether,Aestus harum accusamus abduco auxilium pecco.
cmfysor4p001zipxczt6fl03p,stellaеть,gosh obedience promptly,Derelinquo terminatio amissio non tergum coruscus.,adverb,57,"[""Bis ocer celer cras theatrum comis depraedor ultio."",""Infit certe viduo undique comes vix sublime audax caute.""]",among,Curis decet allatus tam acceptus eum.
cmfysor680020ipxcjeqq13v8,spoliatioое,remark than milky,Summa coadunatio utpote abscido.,adjective,586,"[""Clarus ventosus utique."",""Aliquid accendo vergo aer allatus canis tunc ago apparatus.""]",savour,Delicate validus debitis aperte libero cupio tabula placeat.
cmfysor7q0021ipxcfp64fh93,somnusая,ack uh-huh quinoa,Sopor cohors corpus commodo patrocinor utpote velum tantum aliquid ago.,adverb,18,"[""Cui argumentum colo."",""Minus voluptatem aufero aestus vulgo atqui absque uberrime.""]",up,Adsuesco accendo illo utrum bene bardus itaque trans.
cmfysor9e0022ipxchb7uluw7,crustulumое,intermix more plan,Conculco curatio asper cunabula asperiores culpo vacuus magni.,adverb,643,"[""Pecco abbas consequatur tenetur aestivus sublime."",""Territo vulgus claro curiositas decor.""]",interior,Alii vado necessitatibus.
cmfysoraz0023ipxc8szosbg0,coepiый,dense,Arx virgo conqueror vestigium ullus.,noun,151,"[""Attonbitus vespillo aut vulpes crudelis arca suasoria vereor spero tam."",""Ab vereor convoco alveus traho.""]",rot,Ascisco spiculum bene curia verumtamen vicissitudo ustilo.
cmfysorco0024ipxcq0bk7a9q,tumеть,tenant,Tam validus adiuvo allatus.,adjective,333,"[""Credo aegrotatio ulciscor centum censura animadverto vinculum cattus vulticulus."",""Illum valens dens spiculum aedificium universe defleo clamo absconditus.""]",so,Voveo arcus urbanus corporis.
cmfysore60025ipxcvzlrgr6z,coruscusая,uncork colorize meatloaf,Tristis exercitationem via nam.,noun,882,"[""Dicta nisi cunabula culpo decretum quos celo deleniti ex."",""Urbs perspiciatis tripudio argentum adiuvo benevolentia texo aureus sulum.""]",square,Auxilium civitas audentia conor pecto appello utique terminatio vesica contego.
cmfysorfn0026ipxc6qh5l7iq,inflammatioить,so for,Alias laborum asporto dolore caterva sono.,verb,513,"[""Stillicidium curis acervus vita consequatur amplexus."",""Somniculosus arbitro curriculum thesis auditor demitto.""]",whoever,Vulgo virga demergo vitae canis angulus vir.
cmfysorh80027ipxcm54xjop5,adfectusать,trash bashfully pace,Defungo vorago crur avarus.,adverb,290,"[""Comminor adicio alter tempus chirographum clibanus titulus eum vulgivagus."",""Quae alo vero somniculosus caput summa ter auditor bardus.""]",sport,Eius audeo depraedor deleniti sui quaerat.
cmfysoriq0028ipxcti20ewrj,vulariterеть,opposite,Voluptatibus rerum capillus cum.,noun,720,"[""Odio amicitia depopulo tepesco confero."",""Suffragium viridis quae amplus.""]",till,Vetus coaegresco catena capillus.
cmfysorkc0029ipxc6gulmn4k,absconditusеть,formula squiggly,Speculum crustulum solus talis timidus nihil somnus uredo.,preposition,450,"[""Atque solio spes vulpes tenus culpa tamisium carus."",""Vacuus cumque vilis vestigium distinctio conscendo viridis adhuc brevis beatus.""]",gentle,Amoveo demitto consectetur.
cmfysorly002aipxcx7rtv91i,caecusый,incandescence well-documented besmirch,Veritatis demergo cultura carpo corona tolero cum utilis.,adjective,230,"[""Tunc thermae blandior."",""Voluptatum cresco comptus corrupti demoror curo.""]",handsome,Tabernus acer theologus.
cmfysornm002bipxcmieyil8e,perferendisать,sprinkles whereas,Viridis curia terreo.,noun,325,"[""Arca aequitas angustus xiphias vita."",""Consequuntur subiungo ducimus viridis collum ademptio thesis cauda.""]",into,Voluptatem curatio urbs terebro unde arbor argentum adduco tego.
cmfysorp7002cipxc8bcnsll8,idить,mouser qua,Velum aeger cunabula congregatio dolorem.,verb,655,"[""Taceo cotidie depulso et audeo conculco recusandae virtus paens damno."",""Tertius tenetur pauper pauci paens sumptus carcer undique concedo assumenda.""]",against,Optio clibanus clarus inventore inventore.
cmfysorr2002dipxcowaam05c,angustusеть,than,Autus vomica stipes textor spoliatio suppono.,verb,49,"[""Stultus ultra sub sapiente vestigium demulceo canis uberrime."",""Defleo viridis asper voluptas vulnus terga crustulum facilis demulceo debitis.""]",legitimize,Condico pel suggero minus utique acer ratione.
cmfysoru6002eipxcaupoh2j5,civisать,crazy even,Delinquo tempore nihil voluptatem bonus statua attonbitus vacuus.,preposition,265,"[""Curatio vindico unus subito minus denique termes triduana abundans verecundia."",""Animus cimentarius theca clam textilis stillicidium vinco aegrus turbo maiores.""]",hutch,Consectetur adsidue curiositas carus tutis viridis.
cmfysorvt002fipxcljqcg2h7,itaqueать,but trust pace,Teres colligo voluptatibus dolorem.,preposition,170,"[""Clamo stipes velociter."",""Pecto denuncio vulgo tenus denuo minima tutis urbanus trucido desino.""]",huzzah,Temperantia tempora theca cursus tandem possimus.
cmfysorxc002gipxc6d2ua09y,thesisить,fail modulo,Tondeo velut tonsor astrum adduco.,adverb,381,"[""Tenetur quam earum vapulus aedificium centum vociferor assumenda stella cresco."",""Decumbo victus ter.""]",whenever,Cetera amaritudo adaugeo tenetur conforto demo sulum trans ager.
cmfysoryy002hipxclan8fmp5,expeditaое,who insert,Peior crux colo accommodo benevolentia cohors creptio tristis tui vis.,verb,765,"[""Utor advenio libero victoria caste."",""Textus culpo vir contigo vos comburo adversus charisma.""]",modulo,Labore vos tantillus approbo vicinus deorsum bibo possimus amoveo synagoga.
cmfysos0k002iipxckuw9zzy4,cultellusить,till,Correptius beatae inflammatio comedo thorax suspendo cubicularis ulterius approbo pecus.,noun,719,"[""Cogo traho compono utrimque sumptus nam tollo crinis conventus."",""Audio tantum cultellus.""]",yieldingly,Cribro accommodo decipio.
cmfysos26002jipxcaixy0e4c,agoать,outrun or,Curo ustulo chirographum vis sapiente subnecto.,verb,754,"[""Sed ver quisquam coruscus vehemens repellat consequatur."",""Audentia artificiose libero venustas aggredior beatus cito vulgivagus aqua aegre.""]",knowingly,Vitae corrigo volva statim alias beneficium vilitas truculenter aliquam calcar.
cmfysos3q002kipxcf6onadrk,sociusая,section sizzle yahoo,Terminatio vito censura adipiscor vinco.,adverb,837,"[""Vesper sperno defluo tamisium libero decor."",""Verto tenus facere teneo articulus amplexus vix.""]",sarong,Curo iure agnitio.
cmfysos5d002lipxcq6kcl9r8,tenaxый,meh,Coniuratio aeger defungo barba cognomen.,noun,283,"[""Amplus accusantium non voluptatum."",""Approbo comptus quasi supplanto vulgaris cultura subiungo.""]",below,Aiunt vulgaris spiculum excepturi thesis praesentium excepturi vita subito cunctatio.
cmfysos6u002mipxciv7cbofm,tumить,opposite,Deorsum vulticulus cultellus.,noun,851,"[""Patior delicate coniecto degenero tamen."",""Aveho venio non conspergo angulus tremo quidem.""]",instructive,Spargo amor tamisium depopulo nobis tergum.
cmfysos8c002nipxclhga528h,thymumый,deck,Antea cornu velut appello vulgo trepide acerbitas.,verb,303,"[""Nihil capillus vulariter votum aestas stillicidium."",""Toties vacuus vergo vilitas arca similique ago voluptates.""]",within,Thema canonicus tripudio subvenio alter fuga subnecto adaugeo odit.
cmfysos9w002oipxc9jl5t48z,vitoая,besides athwart though,Collum sublime tempora aduro adnuo acsi non sunt necessitatibus.,noun,475,"[""Odio voco speculum."",""Bene desino assumenda adinventitias statua.""]",adjourn,Desolo defluo dicta arceo desipio.
cmfysosbh002pipxc4wmr9rhq,nostrumить,birdbath self-assured coexist,Adinventitias curiositas adstringo tergum.,noun,877,"[""Tolero doloribus textilis curto comburo alias amo."",""Laborum deporto agnitio delicate cultellus copiose.""]",publicity,Tubineus beneficium arma.
cmfysosd0002qipxcyqvd4zs1,sursumать,incidentally yum gadzooks,Creo umerus inflammatio.,verb,1000,"[""Aveho aranea acquiro."",""Deporto agnitio abutor volutabrum arma tricesimus cribro congregatio cupiditas degusto.""]",internalise,Tunc vere ustilo urbs expedita apud.
cmfysosei002ripxcc23t862g,audaciaое,plagiarise rebuff,Tepidus contabesco thorax ater.,adjective,711,"[""Xiphias ademptio tepidus averto demergo stultus architecto utilis."",""Tutis aggredior succedo cornu ager virtus.""]",per,Acerbitas vix deleo repellendus valeo alveus barba facilis apostolus volo.